#NUMBER	STATUS	HOP-TIME	CNNC-AT-HOP	DFSA-AT-HOP	NNC-AT-HOP
82	trans	441.25	100.6627540244754	2.2993661562329581	120.4016934873685
83	cis	312.0	100.48701565142639	4.8561780936508425	133.61510868515717
84	cis	391.25	93.100104618078802	0.60625181271015316	118.3188507236686
85	trans	337.5	107.84764013996323	1.9880876462598152	133.05285804178308
86	cis	354.25	94.021928722220821	7.6603871860873118	123.54429719440319
87	trans	353.5	99.598196778970831	7.4728284744611564	118.11994222879814
88	cis	308.25	99.153820513957285	5.4854977439177528	126.84790188377836
89	cis	255.5	98.053062583910489	1.2580419267375247	121.57438309183429
90	cis	546.25	101.69135392676644	11.708544733897257	127.71351986362359
91	cis	343.75	96.48696211807443	4.0545240402177933	112.68468211798839
92	trans	168.75	138.97090488478719	2.6094295466643809	131.70247125001416
93	trans	473.25	105.82055976154882	5.4817514698931378	115.10069431739448
94	trans	631.5	121.65111043116543	6.8216243440985247	122.36324327567411
95	trans	275.0	130.355389053122	11.043100389483063	132.05495536284761
96	trans	233.5	118.58157231627628	1.6929558538761786	118.6944912940539
97	trans	354.0	96.970195652707744	4.8386080603020929	125.45291637840079
98	trans	418.25	118.17122070810932	5.5546350504702886	126.71709801423225
99	cis	382.25	79.11523867729808	3.2174919420667001	125.94443987621915
100	cis	407.25	83.046001145288315	4.9548013293841118	124.39013383988258
101	trans	310.5	100.73297627712118	8.690736571352641	120.80970917548289
102	cis	376.0	92.373002727694157	6.3737199266757862	121.67737965918427
103	trans	393.5	100.91505077859854	12.29424510369474	131.14823987873208
104	trans	731.5	150.01413456134361	4.466841984185316	128.467655265839
105	trans	664.25	119.10156943553423	0.78863278315512975	133.66021729828392
106	trans	261.0	110.0817057511493	4.7571459078466134	124.37078773721979
107	trans	433.75	92.946819903874413	4.3045867698062557	135.12245004018928
108	trans	280.25	112.33513902850547	0.81611682900094151	128.80002823828826
109	trans	286.75	95.220499770204597	9.508095889646162	123.74395489708824
110	cis	501.0	86.484899313119271	0.056346693043553976	119.67310602868591
111	trans	144.25	118.57513267560535	5.0721472361194353	136.16361942525202
